date;cmpgn;kw;kw status;impressions;clicks;cost;conversions;all_conversions;search_impression_share;search_rank_lost_impression_share;top_impression_percentage;absolute_top_impression_percentage;total_conversion_value;all_conversion_value
2021-01-14;Non Branded HubSpot;marketing concepts;enabled;16;1;1,15;0;0;0,1;0,9;0,93;0,29;0;0
2021-01-14;Non Branded HubSpot;principles of marketing;enabled;1;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-14;Non Branded Funnel;channel marketing;enabled;1;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-14;Non Branded Funnel;marketing intermediaries;enabled;2;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-14;Non Branded HubSpot;mass marketing definition;enabled;1;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-14;Non Branded Funnel;internet marketing agency;enabled;2;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-14;Non Branded Funnel;content marketing agency;enabled;6;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-14;Non Branded Funnel;global marketing strategy;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-15;Non Branded HubSpot;marketing mix;enabled;32;4;3,45;0;0;0,1;0,9;0,68;0,13;0;0
2021-01-15;Non Branded Funnel;principles of marketing;enabled;31;0;0;0;0;0,17;0,83;0,58;0,08;0;0
2021-01-15;Non Branded Funnel;channel marketing;enabled;5;0;0;0;0;0,1;0,9;0,2;0;0;0
2021-01-15;Branded;integrated marketing communications;paused;70;0;0;0;0;0,1;0,9;0,76;0,19;0;0
2021-01-15;Non Branded Funnel;pay per click marketing;enabled;52;3;2,97;0;0;0,1;0,9;0,2;0;0;0
2021-01-15;Non Branded Funnel;social media marketing;enabled;23;2;3,09;0;0;0,21;0,79;0,32;0;0;0
2021-01-15;Non Branded HubSpot;marketing concepts;enabled;20;0;0;0;0;0,1;0,9;0,7;0,15;0;0
2021-01-15;Non Branded HubSpot;small business marketing;enabled;3;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-15;Non Branded Funnel;marketing intermediaries;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-15;Non Branded Funnel;content marketing agency;enabled;4;0;0;0;0;0;0;0;0;0;0
2021-01-15;Non Branded Funnel;website marketing;enabled;1;0;0;0;0;0,33;0,67;0;0;0;0
2021-01-15;Non Branded Funnel;marketing associate;enabled;1;0;0;0;0;0,5;0,5;0;0;0;0
2021-01-16;Non Branded HubSpot;marketing mix;enabled;30;1;1,31;0;0;0,1;0,9;0,63;0,13;0;0
2021-01-16;Non Branded Funnel;principles of marketing;enabled;45;4;7,35;0;0;0,25;0,75;0,82;0,23;0;0
2021-01-16;Branded;integrated marketing communications;paused;110;4;6,34;0;0;0,1;0,73;0,91;0,27;0;0
2021-01-16;Non Branded Funnel;pay per click marketing;enabled;90;0;0;0;0;0,1;0,9;0,26;0;0;0
2021-01-16;Non Branded Funnel;social media marketing;enabled;34;1;1,92;0;0;0,2;0,8;0,15;0,06;0;0
2021-01-16;Non Branded Funnel;content marketing agency;enabled;19;0;0;0;0;0,1;0,9;0,18;0;0;0
2021-01-16;Non Branded HubSpot;marketing concepts;enabled;11;2;2,46;1;1;0,1;0,9;0,82;0,09;0;0
2021-01-16;Non Branded Funnel;outbound marketing;enabled;10;0;0;0;0;0,1;0,9;0,38;0,13;0;0
2021-01-16;Non Branded HubSpot;principles of marketing;enabled;1;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-16;Non Branded HubSpot;small business marketing;enabled;2;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-16;Non Branded Funnel;marketing intermediaries;enabled;3;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-16;Non Branded Funnel;internet marketing agency;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-16;Non Branded HubSpot;insurance marketing;enabled;1;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-16;Non Branded Funnel;marketing consultant;enabled;2;0;0;0;0;0,11;0,89;0;0;0;0
2021-01-16;Non Branded Funnel;marketing associate;enabled;1;0;0;0;0;0,14;0,86;0;0;0;0
2021-01-17;Non Branded HubSpot;marketing mix;enabled;35;4;1,88;0;0;0,1;0,9;0,65;0,12;0;0
2021-01-17;Non Branded Funnel;principles of marketing;enabled;11;0;0;0;0;0,26;0,26;0,45;0,09;0;0
2021-01-17;Non Branded Funnel;principles of marketing;enabled;30;3;11,74;0;0;0,21;0,33;0,69;0,27;0;0
2021-01-17;Branded;integrated marketing communications;paused;68;1;1,05;0;0;0,1;0,9;0,84;0,43;0;0
2021-01-17;Non Branded Funnel;pay per click marketing;enabled;60;0;0;0;0;0,1;0,5;0,48;0;0;0
2021-01-17;Non Branded Funnel;social media marketing;enabled;23;0;0;0;0;0,13;0,41;0,24;0,14;0;0
2021-01-17;Non Branded Funnel;marketing intermediaries;enabled;7;0;0;0;0;0,1;0,5;0,2;0;0;0
2021-01-17;Non Branded Funnel;content marketing agency;enabled;18;0;0;0;0;0,1;0,52;0,3;0;0;0
2021-01-17;Non Branded HubSpot;marketing concepts;enabled;28;2;2,05;0;0;0,1;0,9;0,89;0,22;0;0
2021-01-17;Non Branded Funnel;channel marketing;enabled;4;0;0;0;0;0,1;0,53;0;0;0;0
2021-01-17;Non Branded HubSpot;small business marketing;enabled;5;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-17;Non Branded Funnel;marketing consultant;enabled;5;0;0;0;0;0,31;0,23;0;0;0;0
2021-01-18;Non Branded HubSpot;marketing mix;enabled;59;2;1,53;0;0;0,1;0,9;0,62;0,25;0;0
2021-01-18;Non Branded Funnel;principles of marketing;enabled;55;1;2,79;0;0;0,36;0,64;0,73;0,16;0;0
2021-01-18;Non Branded HubSpot;#NAME?;enabled;20;3;4,28;0;0;0,12;0,88;0,9;0,3;0;0
2021-01-18;Non Branded Funnel;channel marketing;enabled;8;0;0;0;0;0,1;0,9;0,38;0,13;0;0
2021-01-18;Non Branded Funnel;social media marketing;enabled;45;1;2,44;0;0;0,35;0,65;0,28;0,08;0;0
2021-01-18;Non Branded HubSpot;network marketing pro;enabled;30;0;0;0;0;0,1;0,9;0,7;0,26;0;0
2021-01-18;Non Branded HubSpot;marketing concepts;enabled;65;4;8,73;0;0;0,1;0,9;0,82;0,3;0;0
2021-01-18;Non Branded HubSpot;marketing tips;enabled;23;1;1,14;0;0;0,1;0,9;0,92;0,33;0;0
2021-01-18;Non Branded Funnel;marketing intermediaries;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-18;Non Branded Funnel;internet marketing agency;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-18;Non Branded Funnel;content marketing agency;enabled;8;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-18;Non Branded Funnel;international marketing manager;enabled;2;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-18;Non Branded Funnel;global marketing strategy;enabled;2;0;0;0;0;0;0;0;0;0;0
2021-01-18;Non Branded Funnel;website marketing;enabled;1;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-19;Non Branded HubSpot;marketing mix;enabled;60;4;4,62;0;0;0,1;0,9;0,55;0,22;0;0
2021-01-19;Non Branded Funnel;principles of marketing;enabled;27;1;6,76;0;0;0,34;0,66;0,81;0,19;0;0
2021-01-19;Non Branded Funnel;channel marketing;enabled;9;0;0;0;0;0,1;0,9;0,22;0;0;0
2021-01-19;Branded;integrated marketing communications;paused;128;2;3,19;0;0;0,1;0,9;0,9;0,36;0;0
2021-01-19;Non Branded Funnel;social media marketing;enabled;19;1;1,31;0;0;0,48;0,52;0,23;0,15;0;0
